id,n_victimas,fecha,aaaa,mm,dd,hora,hh,lugar_del_hecho,tipo_de_calle,calle,altura,cruce,dirección normalizada,comuna,xy (caba),pos x,pos y,participantes,victima,acusado
2020-0056,1,2020-11-21,2020,11,21,13:00:00,13,"paz, gral. av. y doctor ramon carrillo",gral paz,"paz, gral. av.",sd,"roca, cnel. av.","paz, gral. av. y roca, cnel. av.",8,point (99327.01838497 92326.91130631),-58.47064556,-34.69843756,moto-cargas,moto,cargas
2020-0057,1,2020-11-23,2020,11,23,07:45:00,7,"nazca av. y viale, luis",avenida,nazca av.,sd,"viale, luis","nazca av. y viale, luis",11,point (98925.55646359 101088.30104271),-58.47501560,-34.61945902,peaton-auto,peaton,auto
2020-0058,1,2020-11-24,2020,11,24,16:00:00,16,"olivera av. y falcon, ramon l., cnel.",avenida,olivera av.,sd,"falcon, ramon l.,cnel.","olivera av. y falcon, ramon l.,cnel.",10,point (97801.31825511 99194.93911759),-58.48727942,-34.63652467,peaton-auto,peaton,auto
2020-0059,1,2020-12-01,2020,12,1,06:35:00,6,brasil 1100,calle,brasil,1100.0,sd,brasil 1100,1,point (107682.84851121 100144.13011242),-58.37951690,-34.62794241,peaton-pasajeros,peaton,pasajeros
2020-0060,1,2020-12-03,2020,12,3,20:30:00,20,"homero y peron, eva av.",avenida,homero,sd,"peron, eva av.","homero y peron, eva av.",9,point (98697.55944704 96954.54248093),-58.47750832,-34.65672199,peaton-moto,peaton,moto
2020-0061,1,2020-12-03,2020,12,3,14:40:00,14,"cantilo, int. y udaondo, guillermo av.",autopista,"cantilo, int.",sd,"udaondo, guillermo av.","cantilo, int. y udaondo, guillermo av.",13,point (101287.58627255 109848.96522762),-58.44927253,-34.54048625,moto-cargas,moto,cargas
2020-0062,1,2020-12-04,2020,12,4,17:19:00,17,moreno 1845,calle,moreno,1845.0,sd,moreno 1845,3,point (106496.91403350 101854.18791210),-58.39246272,-34.61253541,bicicleta-pasajeros,bicicleta,pasajeros
2020-0063,2,2020-12-05,2020,12,5,07:10:00,7,nueva york y alta gracia,calle,nueva york,sd,alta gracia,nueva york y alta gracia,11,point (94080.62190808 102083.62453795),-58.52783814,-34.61047001,peaton_moto-moto,peaton_moto,moto
2020-0065,1,2020-12-05,2020,12,5,16:00:00,16,"paz, gral. av. y goyeneche, roberto parque av.",gral paz,"paz, gral. av.",sd,"goyeneche, roberto parque av.","paz, gral. av. y goyeneche, roberto parque av.",12,point (97243.88021302 108974.21974638),-58.49332664,-34.54836855,moto-auto,moto,auto
2020-0066,1,2020-12-07,2020,12,7,04:30:00,4,autopista perito moreno altura estacion de tren villa luro,autopista,autopista perito moreno,sd,sd,autopista perito moreno (altura estacion de tren villa luro),10,point (96471.01552298 99259.49298489),-58.50178784,-34.63593897,moto-objeto fijo,moto,objeto fijo
2020-0067,1,2020-12-11,2020,12,11,22:00:00,22,saenz av. y beazley,avenida,saenz av.,sd,beazley,saenz av. y beazley,4,point (104283.01090451 97171.08656182),-58.41657793,-34.65476216,peaton-pasajeros,peaton,pasajeros
2020-0068,1,2020-12-12,2020,12,12,20:30:00,20,del libertador av. y austria,avenida,del libertador av.,sd,austria,del libertador av. y austria,2,point (106054.02111991 105122.19678820),-58.39731474,-34.58307887,moto-auto,moto,auto
2020-0069,1,2020-12-15,2020,12,15,05:20:00,5,"independencia av. y saenz peña, luis, pres.",avenida,independencia av.,sd,"saenz pe?a, luis, pres.","independencia av. y saenz peã‘a, luis, pres.",1,point (106954.95135245 101257.81371683),-58.38746381,-34.61790839,moto-pasajeros,moto,pasajeros
2020-0070,1,2020-12-17,2020,12,17,15:35:00,15,"callao av. y las heras, general",avenida,callao av.,sd,"las heras, general","callao av. y las heras, general",2,point (106550.65433457 104158.41702434),-58.39189441,-34.59176378,peaton-pasajeros,peaton,pasajeros
